City,Region,Country,Code,Year,Total Population,Served Population,Sewer Length,Percent Served
Gaborone,Africa,Botswana,104,2015,2187477.0,493740.0,1093.0,0.2257120874870913
Lusaka ,Africa,Zambia,211,2015,2246825.0,386454.0,450.0,0.17200004450724912
Oslo,Europe,Norway,7941,2015,680000.0,677500.0,2302.0,0.9963235294117647
Kampala,Africa,Uganda,210,2015,4279210.84,257620.8,528.7,0.060202876098528486
Bac Ninh City,Western Pacific,Vietnam,B03.1.B,2015,178000.0,37800.0,129.8,0.21235955056179776
Ha Noi City,Western Pacific,Vietnam,B01.1.B,2015,28000.0,28000.0,15.0,1.0
Ha Long City,Western Pacific,Vietnam,A09.1.B,2015,163757.0,148757.0,19.95,0.9084008622532167
Da Nang City,Western Pacific,Vietnam,C07.1.B,2015,1029000.0,492430.0,1025.9,0.47855199222546163
Arusha,Africa,Tanzania,TZ001,2015,444365.0,35549.0,46.17,0.07999954991954812
Dodoma,Africa,Tanzania,TZ 4,2015,444490.0,53338.8,81.0,0.12000000000000001
Dar es Salaam,Africa,Tanzania,TZ 5,2015,4592454.0,229622.7,265.0,0.05
Iringa,Africa,Tanzania,TZ 6,2015,152345.0,18281.4,42.99,0.12000000000000001
Mbeya,Africa,Tanzania,TZ 9,2015,413643.0,49637.16,108.0,0.12000000000000001
Morogoro,Africa,Tanzania,TZ 10,2015,362529.0,14501.16,37.85,0.04
Moshi,Africa,Tanzania,TZ 11,2015,205816.0,57628.48,58.5,0.28
Mwanza,Africa,Tanzania,TZ 14,2015,823551.0,41177.55,86.5,0.05
Songea,Africa,Tanzania,TZ 17,2015,218941.0,17515.28,37.0,0.07999999999999999
Tabora,Africa,Tanzania,TZ 19,2015,234598.0,14075.88,20.0,0.06
Da Lat City,Western Pacific,Vietnam,D05.1.B,2015,212000.0,28600.0,131.5,0.1349056603773585
Soc Trang City,Western Pacific,Vietnam,F07.1.B,2015,137899.0,61931.0,117.7,0.44910405441663825
Tanga,Africa,Tanzania,TZ 20,2015,282955.0,28295.5,35.5,0.1
Astana,Europe,Kazakhstan,KZ1,2015,861968.0,549000.0,706.4,0.6369145954374177
Karaganda,Europe,Kazakhstan,KZ2,2015,505433.0,352100.0,691.0,0.6966304139223201
Almaty Oblast,Europe,Kazakhstan,KZ4,2015,170000.0,66600.0,270.2,0.39176470588235296
Semipalatinsk,Europe,Kazakhstan,KZ5,2015,321950.0,116100.0,261.53,0.3606150023295543
Kokshetau,Europe,Kazakhstan,KZ7,2015,145850.0,122791.0,250.98,0.8418992115186836
Ridder,Europe,Kazakhstan,KZ9,2015,58041.0,32539.0,65.0,0.5606209403697386
Ust Kamenogorsk,Europe,Kazakhstan,KZ10,2015,328600.0,244200.0,463.8,0.7431527693244065
Uralsk,Europe,Kazakhstan,KZ11,2015,173763.0,173763.0,362.3,1.0
Kostanai,Europe,Kazakhstan,KZ12,2015,195100.0,153900.0,376.1,0.7888262429523322
Pavlodar,Europe,Kazakhstan,KZ13,2015,336200.0,227900.0,345.2,0.6778703152885187
Shymkent,Europe,Kazakhstan,KZ14,2015,858100.0,416983.0,453.1,0.48593753641766696
Aktyubinsk,Europe,Kazakhstan,KZ15,2015,462000.0,198300.0,497.0,0.4292207792207792
Zyryanovsk,Europe,Kazakhstan,KZ16,2015,38013.0,22229.0,97.46,0.584773630073922
Atyrau,Europe,Kazakhstan,KZ17,2015,216834.0,111100.0,308.56,0.5123735207578147
Taraz,Europe,Kazakhstan,KZ18,2015,356983.0,167474.0,288.56,0.46913718580436603
Ekibastuz,Europe,Kazakhstan,KZ19,2015,155681.0,121684.0,303.64,0.7816239618193613
Kyzylorda,Europe,Kazakhstan,KZ20,2015,182900.0,65102.0,314.23,0.3559431383269546
Petropavlovsk,Europe,Kazakhstan,KZ22,2015,209529.0,122495.0,240.1,0.5846207446224627
Bashkia Puke,Europe,Albania,UM001,2015,5273.67,2620.42,7.0,0.4968873668621662
Sarande,Europe,Albania,UM002,2015,44122.5,33067.0,27.27,0.7494362286815117
Berat Kucove,Europe,Albania,UM006,2015,116689.5,83019.17,154.89,0.7114536440725172
Lezhe,Europe,Albania,UM007,2015,36985.58,35887.42,28.0,0.9703084283117906
