City,Region,Country,Code,Year,Total Population,Served Population,Water Length,Percent Served
Gaborone,Africa,Botswana,104,2015,2187477.0,1974014.0,2411.0,0.9024158882584823
Bloemfontein,Africa,South Africa,FS172,2015,488316.0,488316.0,3658.0,1.0
City Of Johannesburg,Africa,South Africa,ZA001,2015,3874111.2,3866343.3,10878.0,0.99799492074466
Pretoria,Africa,South Africa,ZA002,2015,2643454.4,2643454.4,10762.0,1.0
Van der Bijl Park,Africa,South Africa,ZA421,2015,646700.0,643800.0,2720.0,0.9955156950672646
Durban,Africa,South Africa,KZ000,2015,3426077.0,3426077.0,12246.0,1.0
Cape Town,Africa,South Africa,WC000,2015,3657894.4,3657894.4,10616.0,1.0
Paarl,Africa,South Africa,WC023,2015,280195.0,279613.9,1273.0,0.997926087189279
Stellenbosch,Africa,South Africa,WC024,2015,143616.0,135910.5,502.0,0.9463465073529411
Chipata ,Africa,Zambia,213,2015,276840.0,227022.0,3328.0,0.8200476809709579
Lusaka ,Africa,Zambia,211,2015,2246825.0,1862781.0,1669.0,0.8290725801964995
Chingola,Africa,Zambia,215,2015,489160.0,475152.0,579.0,0.97136315316052
Kitwe,Africa,Zambia,220,2015,753782.0,721910.0,729.0,0.9577172179754889
Kathmandu,South-East Asia,Nepal,31,2015,2560000.0,2059940.0,1315.0,0.8046640625
Oslo,Europe,Norway,7941,2015,649000.0,649000.0,1565.0,1.0
Kigali,Africa,Rwanda,2222,2015,2645067.0,2253490.0,7255.0,0.8519595155812688
Maseru,Africa,Lesotho,LET1,2015,509803.0,340524.0,1907.11,0.6679521305288514
Kampala,Africa,Uganda,210,2015,5486379.0,4025325.0,8525.0,0.7336943000109909
Son La City,Western Pacific,Vietnam,A03.1.B,2015,212000.0,202320.0,230.0,0.9543396226415094
Lai Chau Town,Western Pacific,Vietnam,A02.1.B,2015,69030.0,61800.0,89.49,0.8952629291612343
Lao Cai City,Western Pacific,Vietnam,A05.1.B,2015,242321.0,200680.0,146.29,0.8281576916569344
Ha Giang Town,Western Pacific,Vietnam,A06.1.B,2015,52400.0,39108.0,106.7,0.7463358778625954
Cao Bang Town,Western Pacific,Vietnam,A07.1.B,2015,102265.0,80455.0,166.89,0.7867305529751136
Viet Tri Town,Western Pacific,Vietnam,A11.1.B,2015,450000.0,365000.0,234.0,0.8111111111111111
Yen Bai City,Western Pacific,Vietnam,A10.1.B,2015,99000.0,69000.0,179.0,0.696969696969697
Tuyen Quang City,Western Pacific,Vietnam,A12.1.B,2015,157798.0,152796.18,464.85,0.9683023865955208
Bac Ninh City,Western Pacific,Vietnam,B03.1.B,2015,220310.0,200500.0,254.0,0.9100812491489265
Bac Giang City,Western Pacific,Vietnam,A15.1.B,2015,190987.0,175571.0,80.1,0.9192824642514935
Bac Kan Town,Western Pacific,Vietnam,A13.1.B,2015,56722.0,51771.0,35.65,0.9127146433482599
Lang Son ,Western Pacific,Vietnam,A08.1.B,2015,702745.0,168944.0,294.79,0.24040583711018934
Thai Nguyen City,Western Pacific,Vietnam,A14.1.B ,2015,904011.0,269196.0,672.35,0.297779562416829
Phuc Yen Town,Western Pacific,Vietnam,B02.2.B,2015,113300.0,85312.0,266.6,0.7529744042365402
Ha Noi City,Western Pacific,Vietnam,B01.4.B,2015,277926.0,139624.0,266.8,0.5023783309226197
Ha Noi City,Western Pacific,Vietnam,B01.3.B,2015,1233800.0,354936.0,201.85,0.2876770951531853
Ha Noi City,Western Pacific,Vietnam,B01.1.B,2015,3280000.0,3280000.0,1905.0,1.0
Hung Yen City,Western Pacific,Vietnam,B09.1.B,2015,193580.0,54188.0,179.9,0.2799256121500155
Hai Duong City,Western Pacific,Vietnam,B07.1.B,2015,930000.0,724104.0,1249.0,0.7786064516129032
Hai Phong City,Western Pacific,Vietnam,B08.1.B,2015,1103048.0,1064456.0,220.58,0.9650133085776865
Thai Binh City,Western Pacific,Vietnam,B10.1.B,2015,268000.0,253050.0,159.2,0.9442164179104477
Nam Dinh City,Western Pacific,Vietnam,B05.1.B,2015,511800.0,506700.0,1483.1,0.9900351699882767
Ninh Binh City,Western Pacific,Vietnam,B06.1.B,2015,341176.0,191641.0,270.0,0.5617071540788332
Phu Ly City,Western Pacific,Vietnam,B04.1.B,2015,131494.0,115234.0,135.0,0.8763441677947282
Thanh Hoa City,Western Pacific,Vietnam,C01.1.B,2015,722164.0,558891.0,2337.0,0.7739114660935743
Vinh City,Western Pacific,Vietnam,C02.1.B,2015,414810.67,362960.14,188.34,0.8750019376309679
Dong Hoi City,Western Pacific,Vietnam,C04.1.B,2015,189580.0,145030.0,268.0,0.7650068572634244
Dong Ha City,Western Pacific,Vietnam,C05.1.B,2015,202337.0,183461.0,422.59,0.906710092568339
Da Nang City,Western Pacific,Vietnam,C07.1.B,2015,1028838.0,915697.0,2324.36,0.8900303060345749
Tam Ky City,Western Pacific,Vietnam,C08.2.B,2015,370000.0,204565.2,341.0,0.5528789189189189
Quang Ngai City,Western Pacific,Vietnam,C09.1.B,2015,209165.0,86196.0,65.52,0.412095713910071
Quy Nhon City,Western Pacific,Vietnam,C10.1.B,2015,488695.7,382854.0,682.21,0.7834200300923458
Arusha,Africa,Tanzania,TZ001,2015,444365.0,364379.0,309.0,0.8199993248793221
Babati,Africa,Tanzania,TZ 2,2015,102335.0,90055.0,142.9,0.880001954365564
Bukoba,Africa,Tanzania,TZ 3,2015,139306.0,108306.0,83.6,0.7774683071798774
Dodoma,Africa,Tanzania,TZ 4,2015,444490.0,361814.0,313.3,0.8139980651983172
Dar es Salaam,Africa,Tanzania,TZ 5,2015,4592454.0,2847321.0,1862.0,0.6199998954807169
Iringa,Africa,Tanzania,TZ 6,2015,152345.0,145369.0,424.8,0.954209196232236
Ujiji,Africa,Tanzania,TZ 7,2015,233218.0,162046.0,231.0,0.6948262998567863
Lindi,Africa,Tanzania,TZ 8,2015,81343.0,51246.0,136.2,0.6299988935741244
Mbeya,Africa,Tanzania,TZ 9,2015,413643.0,401647.0,718.0,0.9709991466070984
Morogoro,Africa,Tanzania,TZ 10,2015,362529.0,326276.1,346.1,0.8999999999999999
Moshi,Africa,Tanzania,TZ 11,2015,205816.0,205816.0,399.6,1.0
Mtwara,Africa,Tanzania,TZ 12,2015,114449.0,103004.0,225.5,0.8999991262483726
Mara,Africa,Tanzania,TZ 13,2015,151099.0,114835.0,123.2,0.7599984116374033
Mwanza,Africa,Tanzania,TZ 14,2015,823551.0,749431.0,666.1,0.9099995021559077
Shinyanga,Africa,Tanzania,TZ 15,2015,169239.0,103236.0,504.9,0.6100012408487405
Singida,Africa,Tanzania,TZ 16,2015,160996.0,104647.0,262.6,0.6499975154662228
Songea,Africa,Tanzania,TZ 17,2015,218941.0,154791.0,330.6,0.7069986891445641
Sumbawanga,Africa,Tanzania,TZ 18,2015,136414.0,84577.0,134.0,0.6200023458002845
Tabora,Africa,Tanzania,TZ 19,2015,234598.0,187678.0,276.2,0.7999982949556262
Tuy Hoa City,Western Pacific,Vietnam,C11.1.B,2015,249375.0,223380.0,518.23,0.8957593984962406
Nha Trang City,Western Pacific,Vietnam,C12.1.B,2015,464400.0,437929.0,827.22,0.9429995693367786
Thap Cham Town,Western Pacific,Vietnam,C13.1.B,2015,286400.0,217700.0,92.6,0.7601256983240223
Phan Thiet City,Western Pacific,Vietnam,C14.1.B,2015,326960.0,249800.0,488.9,0.7640078297039393
Buon Ma Thuot City,Western Pacific,Vietnam,D03.1.B,2015,371100.0,344000.0,24.2,0.9269738614928591
Da Lat City,Western Pacific,Vietnam,D05.1.B,2015,349851.0,253900.0,220.29,0.7257375282620315
Vung Tau City,Western Pacific,Vietnam,E06.1.B,2015,745672.2,714504.0,325.0,0.9582012042288824
Thu Dau Mot City,Western Pacific,Vietnam,E02.1.B,2015,1798551.0,1258985.7,2309.0,0.7
Bien Hoa City,Western Pacific,Vietnam,E05.1.B,2015,946080.0,873720.0,1107.18,0.9235159817351598
Vi Thanh City,Western Pacific,Vietnam,F05.1.B,2015,186504.0,156456.0,471.0,0.8388881739801828
Ho Chi Minh City,Western Pacific,Vietnam,E01.1.B,2015,8553474.0,8247829.0,6125.0,0.9642665658421362
Tay Ninh Town,Western Pacific,Vietnam,E04.1.B,2015,225000.0,112445.0,356.97,0.49975555555555556
Rach Gia City,Western Pacific,Vietnam,F10.1.B,2015,1409160.0,442085.0,801.46,0.3137223594197962
Ben Tren City,Western Pacific,Vietnam,F08.1.B,2015,572003.8,264491.5,472.85,0.4623946554201213
Tra Vinh City,Western Pacific,Vietnam,F13.1.B,2015,212710.0,187440.0,314.58,0.8811997555357058
Vinh Long City,Western Pacific,Vietnam,F03.1.B,2015,257600.0,218600.0,579.74,0.8486024844720497
Can Tho City,Western Pacific,Vietnam,F01.1.B,2015,261112.0,195000.0,434.0,0.7468059683201078
Soc Trang City,Western Pacific,Vietnam,F07.1.B,2015,368033.0,308201.0,721.08,0.8374276219795508
Bac Lieu City,Western Pacific,Vietnam,F09.1.B,2015,155000.0,118872.0,138.98,0.766916129032258
Tanga,Africa,Tanzania,TZ 20,2015,282955.0,277296.0,608.7,0.9800003534130869
Astana,Europe,Kazakhstan,KZ1,2015,861968.0,595000.0,1212.1,0.6902808456926475
Karaganda,Europe,Kazakhstan,KZ2,2015,505433.0,394600.0,1040.0,0.7807167319901945
Almaty Oblast,Europe,Kazakhstan,KZ4,2015,170000.0,98600.0,471.5,0.58
Semipalatinsk,Europe,Kazakhstan,KZ5,2015,339254.0,192100.0,455.32,0.5662424024477235
Kokshetau,Europe,Kazakhstan,KZ7,2015,145850.0,129254.0,299.41,0.8862118615015426
Ridder,Europe,Kazakhstan,KZ9,2015,58041.0,42440.0,124.8,0.7312072500473803
Ust Kamenogorsk,Europe,Kazakhstan,KZ10,2015,328600.0,268900.0,839.2,0.8183201460742544
Uralsk,Europe,Kazakhstan,KZ11,2015,243198.0,243198.0,429.7,1.0
Kostanai,Europe,Kazakhstan,KZ12,2015,195100.0,189500.0,527.0,0.9712967708867247
Pavlodar,Europe,Kazakhstan,KZ13,2015,350200.0,264187.0,457.6,0.7543889206167904
Shymkent,Europe,Kazakhstan,KZ14,2015,858100.0,721700.0,1852.5,0.8410441673464631
Aktyubinsk,Europe,Kazakhstan,KZ15,2015,478000.0,282000.0,1077.0,0.5899581589958159
Zyryanovsk,Europe,Kazakhstan,KZ16,2015,38013.0,33045.0,265.45,0.869307868360824
Atyrau,Europe,Kazakhstan,KZ17,2015,246103.0,246103.0,1041.42,1.0
Taraz,Europe,Kazakhstan,KZ18,2015,356983.0,270647.0,526.02,0.7581509483644879
Ekibastuz,Europe,Kazakhstan,KZ19,2015,155681.0,135972.0,541.3,0.8734013784597993
Kyzylorda,Europe,Kazakhstan,KZ20,2015,182900.0,182897.0,552.1,0.9999835975943139
Petropavlovsk,Europe,Kazakhstan,KZ22,2015,209529.0,185277.0,326.3,0.8842546855089272
Dire Dawa,Africa,Ethiopia,ETDD1,2015,277000.0,166518.15,249.06,0.6011485559566787
Jimma,Africa,Ethiopia,ETOR28,2015,177943.0,95156.0,104.0,0.5347555115964101
Mekelle,Africa,Ethiopia,ETTG7,2015,323700.0,186955.0,529.1,0.5775563793636083
Adama,Africa,Ethiopia,ET6,2015,447346.0,214785.0,442.79,0.4801317101304136
Bashkia Puke,Europe,Albania,UM001,2015,5273.67,2737.42,20.3,0.5190730553864766
Sarande,Europe,Albania,UM002,2015,44122.5,44122.5,53.84,1.0
Vau Dejes,Europe,Albania,UM003,2015,12573.0,5678.0,33.9,0.45160264057901855
Tropoje,Europe,Albania,UM004,2015,9313.58,6930.67,60.0,0.7441467190919067
Berat Kucove,Europe,Albania,UM006,2015,116689.5,105704.5,508.56,0.9058612814349192
Lezhe,Europe,Albania,UM007,2015,36985.58,35887.42,63.0,0.9703084283117906
Pogradec ,Europe,Albania,UM008,2015,61758.33,60767.92,108.53,0.9839631350135277
Korce,Europe,Albania,UM009,2015,89000.0,89000.0,130.23,1.0
Elber ,Europe,Albania,UM010,2015,116000.0,116000.0,272.7,1.0
Shkoder ,Europe,Albania,UM011,2015,75414.0,21532.0,195.05,0.28551727795899967
Permet,Europe,Albania,UM012,2015,13275.0,9383.33,39.6,0.7068421845574387
Vlore,Europe,Albania,UM013,2015,139220.83,136782.83,447.0,0.9824882526558706
Durres ,Europe,Albania,UM014,2015,379000.0,309581.17,650.0,0.8168368601583113
Tirane ,Europe,Albania,UM015,2015,884802.17,844802.17,2267.78,0.9547921542733107
Bushat,Europe,Albania,UM016,2015,39138.0,31192.67,121.4,0.7969919260054167
Novosele ,Europe,Albania,UM021,2015,18539.0,9008.0,78.56,0.48589460057176764
Kelcyre,Europe,Albania,UM022,2015,2130.0,1918.0,10.8,0.9004694835680751
Puke,Europe,Albania,UM024,2015,12000.0,2350.0,133.0,0.19583333333333333
Shkoder-rural,Europe,Albania,UM026,2015,113814.0,84006.33,138.0,0.7381019031050662
Elbasan-rural,Europe,Albania,UM027,2015,104772.0,59695.83,230.0,0.5697689268125071
Korce-rural,Europe,Albania,UM028,2015,2580.0,2297.0,30.0,0.8903100775193798
Lushnje-rural,Europe,Albania,UM029,2015,56250.0,26220.0,112.5,0.46613333333333334
Gjirokaster - rural ,Europe,Albania,UM030,2015,36290.67,28727.33,103.0,0.7915899596232311
Rubik ,Europe,Albania,UM031,2015,7930.75,2385.0,16.5,0.3007281782933518
Bilisht ,Europe,Albania,UM032,2015,12700.0,11173.25,52.3,0.8797834645669291
Mirdite ,Europe,Albania,UM033,2015,9089.0,6074.0,19.8,0.6682803388711629
Fush Arrez ,Europe,Albania,UM034,2015,4800.0,1884.0,28.61,0.3925
Rrogozhine ,Europe,Albania,UM035,2015,21662.92,14105.0,46.3,0.6511125923929
Fier ,Europe,Albania,UM036,2015,134000.0,123000.0,329.0,0.917910447761194
Librazhd ,Europe,Albania,UM037,2015,19101.0,18382.0,45.02,0.9623579917281818
Fush-Kruje ,Europe,Albania,UM038,2015,24518.0,9616.0,17.3,0.39220164776898603
Kavaje ,Europe,Albania,UM039,2015,96167.0,58128.0,263.0,0.6044485114436345
Mallakaster ,Europe,Albania,UM040,2015,38852.0,29428.0,56.25,0.7574384845053022
Gjirokaster,Europe,Albania,UM041,2015,1572.5,1441.67,164.17,0.9168012718600954
Lushnje,Europe,Albania,UM042,2015,79636.0,52875.0,72.0,0.6639585112260786
Libohove .,Europe,Albania,UM043,2015,4104.0,2982.0,48.55,0.7266081871345029
Selenice ,Europe,Albania,UM044,2015,7000.0,7000.0,21.2,1.0
Peqin ,Europe,Albania,UM045,2015,16531.67,15131.67,49.0,0.9153140608299102
Peshkopi ,Europe,Albania,UM046,2015,31000.0,31000.0,68.0,1.0
Gramsh ,Europe,Albania,UM047,2015,21479.75,21479.75,101.6,1.0
Burrel,Europe,Albania,UM049,2015,22440.0,22440.0,49.0,1.0
Bulqize ,Europe,Albania,UM050,2015,15895.0,12118.17,33.5,0.7623888015099087
Tepelene ,Europe,Albania,UM051,2015,16107.0,8791.0,74.48,0.5457875457875457
Polican ,Europe,Albania,UM052,2015,9900.0,9900.0,50.0,1.0
Erseke ,Europe,Albania,UM053,2015,7575.0,6300.0,38.0,0.8316831683168316
Has ,Europe,Albania,UM054,2015,13489.0,8622.5,79.2,0.6392245533397584
Corovode ,Europe,Albania,UM055,2015,5904.58,5238.75,28.68,0.8872349938522299
Kukes ,Europe,Albania,UM057,2015,40000.0,40000.0,115.65,1.0
Kurbin ,Europe,Albania,UM058,2015,69292.33,28373.33,64.0,0.4094728810533576
Delvine ,Europe,Albania,UM059,2015,13387.25,11406.5,26.2,0.852042054940335
Divjake,Europe,Albania,UM060,2015,14033.92,14033.92,51.0,1.0
Ura-Vajgurore ,Europe,Albania,UM061,2015,14425.0,10207.0,26.34,0.7075909878682842
Kraste .,Europe,Albania,UM062,2015,17060.0,17060.0,124.5,1.0
Patos ,Europe,Albania,UM063,2015,60000.0,23154.0,67.0,0.3859
Kamez Sh.a.,Europe,Albania,UM064,2015,90066.0,40768.0,68.7,0.4526458374969467
Yerevan ,Europe,Armenia,AR1,2015,1200000.0,1149148.0,2600.0,0.9576233333333334
National,Europe,Armenia,AR2,2015,639101.0,517671.0,5900.4,0.8099987325946916
Gyumri,Europe,Armenia,AR3,2015,154915.0,154915.0,1192.0,1.0
Vanadzor,Europe,Armenia,AR4,2015,89428.0,89428.0,757.0,1.0
Armavir,Europe,Armenia,AR5,2015,46124.0,40887.0,339.54,0.8864582429971382
Zvornik,Europe,Bosnia and Herzegovina,BH2,2015,67000.0,41180.0,165.2,0.6146268656716418
Bosanska Krupa,Europe,Bosnia and Herzegovina,BH4,2015,25545.0,20556.0,158.65,0.804697592483852
Cazin,Europe,Bosnia and Herzegovina,BH6,2015,66069.0,60000.0,563.0,0.9081414884438995
Gradacac,Europe,Bosnia and Herzegovina,BH7,2015,39148.0,21000.0,82.0,0.5364258710534382
Hadži?i,Europe,Bosnia and Herzegovina,BH9,2015,27000.0,23854.0,156.75,0.8834814814814815
Jaice,Europe,Bosnia and Herzegovina,BH10,2015,25000.0,15820.0,46.5,0.6328
Livno,Europe,Bosnia and Herzegovina,BH11,2015,13072.0,12450.0,120.0,0.9524173806609547
Sarajevo,Europe,Bosnia and Herzegovina,BH15,2015,405000.0,405000.0,1150.0,1.0
Travnik,Europe,Bosnia and Herzegovina,BH17,2015,22867.0,8402.0,22.0,0.367429046223816
Tuzla,Europe,Bosnia and Herzegovina,BH18,2015,110979.0,104000.0,630.0,0.9371142288180647
Velika Kladuša,Europe,Bosnia and Herzegovina,BH19,2015,45000.0,42800.0,650.0,0.9511111111111111
Banja Luka,Europe,Bosnia and Herzegovina,BH21,2015,199191.0,186000.0,775.0,0.9337771284847207
Modri?a,Europe,Bosnia and Herzegovina,BH22,2015,17000.0,17000.0,94.0,1.0
Banovici,Europe,Bosnia and Herzegovina,BH23,2015,15300.0,11428.0,116.0,0.7469281045751635
Braza,Europe,Bosnia and Herzegovina,BH24,2015,15000.0,11300.0,59.0,0.7533333333333333
Istocno Sarajevo,Europe,Bosnia and Herzegovina,BH27,2015,32500.0,32500.0,216.81,1.0
Bia?ystok,Europe,Poland,PL1,2015,311000.0,308023.0,1111.4,0.990427652733119
Bielsko-Biala,Europe,Poland,PL2,2015,265890.0,174500.0,1997.1,0.6562864342397232
Bydgoszcz,Europe,Poland,PL3,2015,357652.0,357005.0,1033.17,0.9981909789404225
Cz?stochowa,Europe,Poland,PL4,2015,327684.0,258033.0,2397.0,0.7874446112718351
Gda?sk,Europe,Poland,PL5,2015,572944.0,572944.0,1520.06,1.0
Gdynia,Europe,Poland,PL6,2015,380000.0,378830.0,1275.3,0.9969210526315789
Grodzisk Mazowiecki,Europe,Poland,PL7,2015,42485.0,32000.0,426.2,0.7532070142403201
Jastrz?bie Zdrój,Europe,Poland,PL8,2015,97011.0,97011.0,539.9,1.0
Katowice,Europe,Poland,PL9,2015,301834.0,271952.0,1002.01,0.9009985621235513
Kraków,Europe,Poland,PL10,2015,762500.0,757200.0,2170.0,0.9930491803278688
Kruszwica,Europe,Poland,PL11,2015,17350.0,15010.0,281.0,0.8651296829971181
Lublin,Europe,Poland,PL14,2015,354738.0,321230.0,958.2,0.9055415546121363
Nowy S?cz,Europe,Poland,PL15,2015,100000.0,90000.0,703.5,0.9
