City Code,Name,State,Year,Total Population,Attended Population (water),Water Length,Water Volume Produced,Water Volume Consumed,Attended Population (sewer),Sewer Length,Sewer Volume,Percent Served,Served Population
120010,Brasiléia,AC,2018,25848,15487.0,73.28,2658.94,749.74,5800.0,12.75,78.0,0.5991566078613433,15487.0
120010,Brasiléia,AC,2017,24765,15172.0,73.28,2638.62,747.08,5800.0,12.75,75.0,0.612638804764789,15172.0
120010,Brasiléia,AC,2016,24311,13875.0,73.28,2611.2,707.22,5800.0,12.75,75.0,0.5707292994940562,13875.0
120010,Brasiléia,AC,2015,23849,12950.0,73.28,2560.0,747.17,5800.0,12.75,75.0,0.5429997064866452,12950.0
120010,Brasiléia,AC,2014,23378,12699.0,73.28,2552.67,926.08,5800.0,12.75,75.0,0.5432030113782188,12699.0
120010,Brasiléia,AC,2013,22899,11794.0,73.28,2478.32,801.02,5500.0,12.75,75.0,0.5150443250796978,11794.0
120010,Brasiléia,AC,2012,22261,10479.0,72.69,2406.13,705.11,5000.0,12.5,55.0,0.47073356992048876,10479.0
120010,Brasiléia,AC,2011,21837,12234.0,50.2,2382.25,728.59,5000.0,12.5,54.0,0.5602417914548702,12234.0
120032,Jordão,AC,2020,8473,3516.0,14.98,336.61,158.41,1200.0,3.0,25.0,0.4149651835241355,3516.0
120032,Jordão,AC,2013,7147,2587.0,6.8,204.97,143.73,3500.0,2.0,500.0,0.36197005736672727,2587.0
120033,Mâncio Lima,AC,2020,19311,12234.0,70.92,1171.26,652.6,11112.0,47.41,486.71,0.6335249339754544,12234.0
120038,Plácido de Castro,AC,2020,19955,8668.0,81.46,820.19,449.74,1516.0,4.7,66.96,0.4343773490353295,8668.0
120038,Plácido de Castro,AC,2012,17587,7000.0,62.1,723.28,424.14,13000.0,6.0,1000.0,0.39802126570762497,7000.0
120038,Plácido de Castro,AC,2010,17209,5956.0,48.35,570.62,330.42,1172.0,1.75,49.25,0.34609797199139986,5956.0
120040,Rio Branco,AC,2020,413418,219756.0,1149.11,33041.27,13028.26,88008.0,550.82,4740.98,0.531558858104872,219756.0
120040,Rio Branco,AC,2019,407319,221012.0,1148.66,32393.4,13230.7,88199.0,548.34,4472.62,0.5426017445785736,221012.0
120040,Rio Branco,AC,2018,401155,211260.0,1147.91,32023.67,12713.72,82178.0,546.27,4201.92,0.5266293577295559,211260.0
120040,Rio Branco,AC,2017,383443,210612.0,1139.57,31778.97,12864.51,83010.0,534.32,4329.95,0.5492654710087288,210612.0
120040,Rio Branco,AC,2016,377057,205986.0,1139.44,31448.76,12712.53,82966.0,533.47,4354.32,0.5462993658783685,205986.0
120040,Rio Branco,AC,2015,370550,202308.0,1139.44,30832.12,12121.59,83548.0,533.47,4083.41,0.5459668060990419,202308.0
120040,Rio Branco,AC,2014,363928,182738.0,1116.21,30831.71,11320.98,77271.0,467.27,3880.14,0.5021267943109626,182738.0
120040,Rio Branco,AC,2013,357194,174915.0,1074.72,27060.3,10766.74,72046.0,438.97,3728.55,0.48969187612333914,174915.0
120040,Rio Branco,AC,2012,348354,308545.0,820.08,26272.13,9859.0,82890.0,324.88,3644.85,0.885722569570035,308545.0
120040,Rio Branco,AC,2011,342299,308068.0,769.02,32548.18,9859.0,68000.0,231.0,3352.0,0.899996786435251,308068.0
120040,Rio Branco,AC,2010,336038,252931.0,769.0,29300.66,8183.19,68000.0,231.0,3732.5,0.7526857081639576,252931.0
120040,Rio Branco,AC,2009,305954,165894.0,769.0,28905.0,6834.0,62202.0,212.0,3128.0,0.5422187649123724,165894.0
120040,Rio Branco,AC,2008,301398,131218.0,617.28,27452.9,6206.83,57308.0,120.27,2931.61,0.4353645346020876,131218.0
120040,Rio Branco,AC,2007,290639,130838.0,617.0,24990.0,5351.23,59448.0,120.0,2265.0,0.45017358303599997,130838.0
120040,Rio Branco,AC,2006,314127,150633.0,539.5,26443.0,5339.8,74138.0,118.6,2618.0,0.4795289803168782,150633.0
120040,Rio Branco,AC,2005,305731,117592.0,552.7,23859.0,5362.5,58667.0,132.0,4800.0,0.38462570037058724,117592.0
270010,Água Branca,AL,2020,20230,12895.0,46.0,48.05,365.11,5000.0,10.0,200.0,0.6374196737518537,12895.0
270010,Água Branca,AL,2016,20422,13178.0,32.0,297.32,433.43,5376.0,10.0,100.0,0.6452844971109588,13178.0
270030,Arapiraca,AL,2020,233047,222011.0,642.89,9271.18,7944.73,4303.0,36.64,110.68,0.9526447454805254,222011.0
270030,Arapiraca,AL,2019,231747,220780.0,640.78,8532.18,7378.2,4280.0,36.64,109.49,0.952676841555662,220780.0
270030,Arapiraca,AL,2015,231053,221212.0,622.94,258.29,8223.24,70000.0,110.0,10000.0,0.9574080405794342,221212.0
270030,Arapiraca,AL,2014,229329,220476.0,597.04,199.73,7515.73,70000.0,110.0,10000.0,0.9613960728909122,220476.0
270030,Arapiraca,AL,2013,227640,213050.0,597.01,165.51,6503.48,70000.0,110.0,9120.0,0.9359075733614479,213050.0
